bacteria,antibiotic,resistance_pctg,train_accuracy,test_accuracy,accuracy_baseline,train_precision,test_precision,precision_baseline,train_recall,test_recall,recall_baseline,train_f1_score,test_f1_score,f1_score_baseline
ESCHERICHIA COLI,TOBRAMYCIN,0.16070941336971356,0.9406548431105047,0.8472032742155525,0.9013253713952812,0.933965844402277,0.85273492286115,0.9013253713952812,1.0,0.9886178861788618,1.0,0.9658555729984302,0.9156626506024096,0.9481021869853308
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,0.35687022900763354,0.7375596455351057,0.6907356948228883,0.7261362393847723,0.711633194391815,0.6793557833089312,0.7261362393847723,0.9952305246422893,0.9830508474576272,1.0,0.8298718515245249,0.8034632034632034,0.8413429054054054
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,0.3193960511033682,0.9106753812636166,0.7304347826086957,0.7711903659101436,0.8898467432950191,0.7414965986394558,0.7711903659101436,0.991462113127001,0.9276595744680851,1.0,0.9379101463907118,0.8241965973534972,0.87081589958159
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,0.2545031958163858,0.9084302325581395,0.7536231884057971,0.8340090350978803,0.8954305799648506,0.7847682119205298,0.8340090350978803,0.99317738791423,0.9221789883268483,1.0,0.9417744916820703,0.8479427549194991,0.90949283142803
KLEBSIELLA PNEUMONIAE,CEFEPIME,0.1651053864168618,0.9253294289897511,0.8567251461988304,0.8929816407157797,0.9178743961352657,0.8646153846153846,0.8929816407157797,1.0,0.9825174825174825,1.0,0.9571788413098237,0.9198036006546645,0.9434657172672029
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,0.1853573503776874,0.9469476744186046,0.8260869565217391,0.880268642890227,0.9388609715242882,0.8442367601246106,0.880268642890227,1.0,0.9644128113879004,1.0,0.9684665226781858,0.9003322259136213,0.9363222071683704
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,0.21022067363530783,0.9898329702251271,0.8318840579710145,0.8679791546033584,0.9872958257713249,0.8519736842105263,0.8679791546033584,1.0,0.9522058823529411,1.0,0.993607305936073,0.8993055555555556,0.9293242405455672
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,0.20988372093023255,0.9418604651162791,0.813953488372093,0.8634101169116796,0.9314481576692374,0.8209876543209876,0.8634101169116796,1.0,0.9779411764705882,1.0,0.9645075421472937,0.8926174496644296,0.926698968816002
KLEBSIELLA PNEUMONIAE,GENTAMICIN,0.1103368176538908,0.9891067538126361,0.8898550724637682,0.9259430687340894,0.9879032258064516,0.8944281524926686,0.9259430687340894,1.0,0.993485342019544,1.0,0.9939148073022313,0.941358024691358,0.961547704878635
KLEBSIELLA PNEUMONIAE,MEROPENEM,0.00987797791981404,0.9898255813953488,0.991304347826087,0.9928232434309526,0.9898255813953488,0.991304347826087,0.9928232434309526,1.0,1.0,1.0,0.9948867786705624,0.9956331877729258,0.9963986988847584
KLEBSIELLA PNEUMONIAE,NITROFURANTOIN,0.7365967365967365,0.9650145772594753,0.7170542635658915,0.6873837569745815,1.0,0.14285714285714285,0.0,0.8671586715867159,0.014705882352941176,0.0,0.9288537549407114,0.02666666666666667,0.0
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,0.08052805280528053,0.976897689768977,0.9207920792079208,0.9517978113600832,0.9754816112084063,0.9207920792079208,0.9517978113600832,1.0,1.0,1.0,0.9875886524822695,0.9587628865979382,0.9753036977706582
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,0.15147997678467784,0.9905660377358491,0.8782608695652174,0.898112770637953,0.9890016920473773,0.8814589665653495,0.898112770637953,1.0,0.9897610921501706,1.0,0.994470438111442,0.932475884244373,0.946321825057948
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,0.22809053975623916,0.8606676342525399,0.8057971014492754,0.8453153988868275,0.8499197431781701,0.8099688473520249,0.8453153988868275,0.9953007518796992,0.9774436090225563,1.0,0.9168831168831169,0.8858603066439523,0.9161744376021114
PSEUDOMONAS AERUGINOSA,CEFEPIME,0.1933621933621934,0.9007220216606499,0.8201438848920863,0.8586794144009561,0.8904382470119522,0.8198529411764706,0.8586794144009561,1.0,0.9955357142857143,1.0,0.9420442571127503,0.8991935483870968,0.923967207844398
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,0.2222222222222222,0.9332129963898917,0.8309352517985612,0.8467055132227701,0.9218415417558886,0.8313725490196079,0.8467055132227701,0.9988399071925754,0.9814814814814815,1.0,0.9587973273942093,0.9002123142250531,0.916990291262136
PSEUDOMONAS AERUGINOSA,CIPROFLOXACIN,0.3460706560922855,0.9341749323715058,0.7410071942446043,0.7334229390681004,0.9116161616161617,0.7433628318584071,0.7334229390681004,0.9958620689655172,0.9230769230769231,1.0,0.951878707976269,0.8235294117647058,0.8462134918583614
PSEUDOMONAS AERUGINOSA,GENTAMICIN,0.17460317460317465,0.9954873646209387,0.8597122302158273,0.8582100702226206,0.9956427015250545,0.876984126984127,0.8582100702226206,0.9989071038251366,0.9650655021834061,1.0,0.9972722313147845,0.918918918918919,0.9236954249417062
PSEUDOMONAS AERUGINOSA,MEROPENEM,0.24080749819754865,0.9909828674481514,0.8165467625899281,0.8256387270282385,0.9894117647058823,0.8252032520325203,0.8256387270282385,0.998812351543943,0.9620853080568721,1.0,0.9940898345153665,0.888402625820569,0.904493002700712
PSEUDOMONAS AERUGINOSA,PIPERACILLIN/TAZO,0.19637681159420295,0.9990942028985508,0.8369565217391305,0.8709677419354839,0.9988738738738738,0.8416988416988417,0.8709677419354839,1.0,0.9819819819819819,1.0,0.9994366197183099,0.9064449064449065,0.9310344827586208
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,0.10822510822510822,0.9990974729241877,0.9244604316546763,0.9131799163179916,0.9989888776541962,0.9250936329588015,0.9131799163179916,1.0,0.9959677419354839,1.0,0.9994941831057157,0.9592233009708738,0.9546200109349372
