ndc,rxcui,atc_class,atc_class_name
0338-5002-41,1665021,J01DD,Third-generation cephalosporins
0338-3552-48,1807508,A07AA,Antibiotics
0206-8860-02,1659134,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
0206-8862-02,1659151,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
44567-0235-25,1659283,J01DD,Third-generation cephalosporins
57896-0421-01,1099279,A06AA,"Softeners, emollients"
0603-1554-04,1867544,B05XA,Electrolyte solutions
60687-0406-77,1049604,N02AA,Natural opium alkaloids
0338-0049-31,1807631,B05XA,Electrolyte solutions
70710-1344-01,577348,N05CH,Melatonin receptor agonists
0904-6730-61,198440,N02BE,Anilides
0574-7050-12,198509,A06AB,Contact laxatives
0409-2723-01,1659263,B01AB,Heparin group
0904-6407-61,308753,A06AB,Contact laxatives
70436-0021-82,1807513,A07AA,Antibiotics
0173-0682-20,859088,R03AC,Selective beta-2-adrenoreceptor agonists
0904-6998-80,1115005,A06AA,"Softeners, emollients"
0121-1276-00,996520,R05DA,Opium alkaloids and derivatives
68084-0346-01,979485,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
0904-6553-04,311347,J01XX,Other antibacterials
0517-4201-25,995270,N05BB,Diphenylmethane derivatives
0409-3795-01,1665461,M01AB,Acetic acid derivatives and related substances
0409-1312-30,1724644,N02AA,Natural opium alkaloids
49502-0500-02,727347,C01CA,Adrenergic and dopaminergic agents
24090-0471-88,856571,C07AA,"Beta blocking agents, non-selective"
51079-0023-20,197979,C03BA,"Sulfonamides, plain"
63323-0258-03,1743704,H02AB,Glucocorticoids
51079-0279-20,856519,C07AA,"Beta blocking agents, non-selective"
51079-0524-20,198052,A04AA,Serotonin (5HT3) antagonists
51079-0980-20,198222,C03DA,Aldosterone antagonists
60505-2604-00,854876,N05CF,Benzodiazepine related drugs
0641-6080-25,1740467,A04AA,Serotonin (5HT3) antagonists
0338-5197-41,199739,A02BA,H2-receptor antagonists
0904-6373-61,312845,N04BC,Dopamine agonists
0338-0023-04,1795481,B05BA,Solutions for parenteral nutrition
0172-5728-60,310273,A02BA,H2-receptor antagonists
0173-0719-20,896001,D07AC,"Corticosteroids, potent (group III)"
0904-6667-61,310432,N02BF,Gabapentinoids
0904-6808-61,200224,R03DC,Leukotriene receptor antagonists
0904-6564-61,197397,R05DB,Other cough suppressants
51079-0771-20,686924,C07AG,Alpha and beta blocking agents
60687-0443-01,856377,N06AX,Other antidepressants
51079-0051-20,314200,A02BC,Proton pump inhibitors
0536-1008-36,318272,A01AD,Other agents for local oral treatment
0904-6293-04,259255,C10AA,HMG CoA reductase inhibitors
62584-0265-01,866924,C07AB,"Beta blocking agents, selective"
0904-5959-61,197518,J01FF,Lincosamides
0338-0807-04,615111,B05CX,Other irrigating solutions
0338-1301-48,1665088,J01DE,Fourth-generation cephalosporins
50111-0433-01,856377,N06AX,Other antidepressants
43598-0204-51,617322,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
59762-4921-01,198038,C01DA,Organic nitrates
59762-3304-03,198039,C01DA,Organic nitrates
60569-0495-01,210961,A12CC,Magnesium
0904-6474-61,314200,A02BC,Proton pump inhibitors
68084-0762-01,310431,N02BF,Gabapentinoids
64980-0104-01,656742,B05XA,Electrolyte solutions
0406-0512-62,1049221,N02AJ,Opioids in combination with non-opioid analgesics
0409-1178-30,861529,N02AB,Phenylpiperidine derivatives
0517-4605-25,238212,D11AA,Antihidrotics
63323-0269-65,1808219,N01AX,Other general anesthetics
0338-0049-38,1807632,B05XA,Electrolyte solutions
