ndc,rxcui,atc_class,atc_class_name
0703-5145-01,237788,V03AF,Detoxifying agents for antineoplastic treatment
63323-0117-51,239177,L01BC,Pyrimidine analogues
61703-0363-22,1736781,L01XA,Platinum compounds
13811-0679-30,602964,N05AX,Other antipsychotics
63323-0117-10,1791701,L01BC,Pyrimidine analogues
25021-0115-04,1737578,J01FF,Lincosamides
50881-0005-60,1193341,D11AH,"Agents for dermatitis, excluding corticosteroids"
51079-0206-20,197320,M04AA,Preparations inhibiting uric acid production
0172-4096-60,197391,M03BX,Other centrally acting agents
0904-6557-61,891881,N02AA,Natural opium alkaloids
43547-0400-10,828348,M03BX,Other centrally acting agents
68084-0845-01,312136,N03AF,Carboxamide derivatives
0904-6475-61,197391,M03BX,Other centrally acting agents
65162-0649-78,283536,N03AF,Carboxamide derivatives
57664-0502-89,313412,M03BX,Other centrally acting agents
36000-0033-10,866508,C07AB,"Beta blocking agents, selective"
67877-0242-01,312744,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
68084-0855-01,197391,M03BX,Other centrally acting agents
76014-0004-10,1542385,C01CA,Adrenergic and dopaminergic agents
25021-0113-82,1721315,J02AC,Triazole and tetrazole derivatives
55150-0202-10,283669,A02BC,Proton pump inhibitors
0904-6639-61,616487,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0487-9501-25,630208,R03AC,Selective beta-2-adrenoreceptor agonists
42023-0146-25,309710,N05CM,Other hypnotics and sedatives
0904-7041-61,197319,M04AA,Preparations inhibiting uric acid production
52565-0008-14,1543069,D04AB,Anesthetics for topical use
57664-0683-57,1662285,J01XX,Other antibacterials
0904-7006-35,1000990,R01AA,"Sympathomimetics, plain"
60687-0473-01,483442,N02BF,Gabapentinoids
21922-0009-09,855633,M02AA,"Antiinflammatory preparations, non-steroids for topical use"
42806-0714-01,197397,R05DB,Other cough suppressants
70594-0053-01,1996246,J01XX,Other antibacterials
0904-6352-61,199885,J01MA,Fluoroquinolones
0904-6572-61,197320,M04AA,Preparations inhibiting uric acid production
45802-0562-02,309333,D10AF,Antiinfectives for treatment of acne
63833-0386-02,1484963,B02BD,Blood coagulation factors
63323-0540-31,1361226,B01AB,Heparin group
0904-6565-61,313565,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
62584-0266-01,866514,C07AB,"Beta blocking agents, selective"
70860-0400-10,238720,B02AA,Amino acids
68084-0591-01,317110,C01DA,Organic nitrates
76329-3369-01,1191250,V03AB,Antidotes
17478-0540-05,1724340,N02AA,Natural opium alkaloids
23155-0294-42,2102949,N05AB,Phenothiazines with piperazine structure
70860-0300-05,866508,C07AB,"Beta blocking agents, selective"
0409-2634-50,1724341,N02AA,Natural opium alkaloids
0904-6519-61,311725,N06AX,Other antidepressants
0228-2027-10,308047,N05BA,Benzodiazepine derivatives
59338-0775-01,1191357,B03AC,"Iron, parenteral preparations"
37000-0023-04,880853,A06AC,Bulk-forming laxatives
0904-6558-61,891888,N02AA,Natural opium alkaloids
0406-3243-01,897696,N02AA,Natural opium alkaloids
63323-0542-07,1362831,B01AB,Heparin group
0904-7822-31,309367,D01AC,Imidazole and triazole derivatives
0597-0058-01,863671,G04CA,Alpha-adrenoreceptor antagonists
60505-0795-04,854248,B01AB,Heparin group
50383-0667-30,197877,N01BB,Amides
0338-0072-25,1665461,M01AB,Acetic acid derivatives and related substances
60505-0792-04,854235,B01AB,Heparin group
51079-0790-01,197321,N05BA,Benzodiazepine derivatives
0143-1787-01,238154,N02BE,Anilides
0713-0135-12,198159,N05AB,Phenothiazines with piperazine structure
0115-8211-01,863669,G04CA,Alpha-adrenoreceptor antagonists
45802-0759-30,992454,D04AA,Antihistamines for topical use
57664-0274-08,197528,N03AE,Benzodiazepine derivatives
13811-0680-30,402131,N05AX,Other antipsychotics
51079-0944-20,993687,N06AX,Other antidepressants
63739-0573-10,198211,C10AA,HMG CoA reductase inhibitors
0409-2051-05,238083,N01AX,Other general anesthetics
0591-3540-60,993503,N06AX,Other antidepressants
63323-0044-01,309594,B03BA,Vitamin B12 (cyanocobalamin and analogues)
50268-0852-15,309595,B03BA,Vitamin B12 (cyanocobalamin and analogues)
57894-0054-27,1811257,L04AC,Interleukin inhibitors
49884-0465-65,848943,C10AC,Bile acid sequestrants
75826-0114-10,1094107,G04BX,Other urologicals
51079-0437-20,1000070,N06AA,Non-selective monoamine reuptake inhibitors
57237-0005-11,197699,J02AC,Triazole and tetrazole derivatives
60687-0544-01,197527,N03AE,Benzodiazepine derivatives
0172-3927-60,197589,N05BA,Benzodiazepine derivatives
0904-7000-61,483450,N02BF,Gabapentinoids
71288-0410-83,854235,B01AB,Heparin group
0409-1134-03,1731537,N02AA,Natural opium alkaloids
0121-0595-30,543014,A09AB,Acid preparations
0338-0705-41,1860241,B05XA,Electrolyte solutions
0591-0404-01,897722,C08DA,Phenylalkylamine derivatives
63402-0304-10,1040036,N05AE,Indole derivatives
45802-0465-64,106336,D01AC,Imidazole and triazole derivatives
0536-3029-06,314119,N07BA,Drugs used in nicotine dependence
68084-0248-01,311372,R06AX,Other antihistamines for systemic use
24208-0486-10,1923432,C07AA,"Beta blocking agents, non-selective"
67877-0251-80,1014314,D07AB,"Corticosteroids, moderately potent (group II)"
16729-0183-01,310798,C03AA,"Thiazides, plain"
59572-0632-55,1605455,L04AA,Selective immunosuppressants
47781-0584-68,1665461,M01AB,Acetic acid derivatives and related substances
59762-4537-02,1000126,G03AC,Progestogens
63323-0012-01,1791721,H01BB,Oxytocin and analogues
0406-0527-10,991149,N07BC,Drugs used in opioid dependence
0536-1107-88,198029,N07BA,Drugs used in nicotine dependence
0703-3301-04,312068,H01CB,Somatostatin and analogues
51079-0286-20,197589,N05BA,Benzodiazepine derivatives
0135-0511-01,968851,N07BA,Drugs used in nicotine dependence
0409-3182-01,1010759,N01BB,Amides
63323-0482-27,1010755,N01BB,Amides
60505-0065-00,198051,A02BC,Proton pump inhibitors
65162-0899-03,349490,N05AX,Other antipsychotics
50268-0759-15,313412,M03BX,Other centrally acting agents
0904-6917-61,198051,A02BC,Proton pump inhibitors
68094-0193-61,1099687,N03AG,Fatty acid derivatives
66689-0037-50,312055,A07AA,Antibiotics
55150-0114-20,1721476,J01CA,Penicillins with extended spectrum
0378-0373-01,979092,P01BA,Aminoquinolines
60687-0231-01,312940,N06AB,Selective serotonin reuptake inhibitors
0228-2631-11,311192,C01DA,Organic nitrates
0781-1556-13,381056,C01DA,Organic nitrates
0143-3142-50,1649988,J01AA,Tetracyclines
60505-0112-00,310430,N02BF,Gabapentinoids
50111-0918-01,198370,C03CA,"Sulfonamides, plain"
0574-0805-30,465377,R05CB,Mucolytics
0781-1046-13,198076,N05AB,Phenothiazines with piperazine structure
0904-6269-08,314286,N05AE,Indole derivatives
51079-0632-20,198141,C02CA,Alpha-adrenoreceptor antagonists
51079-0300-20,884185,C02AC,Imidazoline receptor agonists
50242-0085-27,1804802,B01AD,Enzymes
59762-5025-01,283523,N02BF,Gabapentinoids
0781-1048-13,198078,N05AB,Phenothiazines with piperazine structure
16500-0023-22,1293268,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
0245-0212-01,993470,C01CA,Adrenergic and dopaminergic agents
49938-0101-01,197557,J04BA,Drugs for treatment of lepra
59676-0562-01,794610,J05AE,Protease inhibitors
61958-0601-01,404587,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
61958-0602-01,616148,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
51079-0734-20,310671,N05AD,Butyrophenone derivatives
0781-1393-13,314034,N05AD,Butyrophenone derivatives
51079-0774-20,1738495,N06AB,Selective serotonin reuptake inhibitors
0517-0955-01,485968,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
49884-0117-01,977880,C03DB,Other potassium-sparing agents
63304-0827-90,617312,C10AA,HMG CoA reductase inhibitors
0185-0223-60,242461,B01AC,Platelet aggregation inhibitors excl. heparin
61958-1003-01,860738,C01EB,Other cardiac preparations
0378-1813-77,966224,H03AA,Thyroid hormones
66689-0031-50,104884,A03FA,Propulsives
63323-0484-57,1010902,N01BB,Amides
60505-2996-03,596930,N06AX,Other antidepressants
0378-4472-01,200060,L04AA,Selective immunosuppressants
0703-9514-03,313137,J01EC,Intermediate-acting sulfonamides
0185-0123-60,242462,B01AC,Platelet aggregation inhibitors excl. heparin
0228-2497-10,198032,C08CA,Dihydropyridine derivatives
0781-1972-01,1099300,N06AA,Non-selective monoamine reuptake inhibitors
0338-0553-11,1807631,B05XA,Electrolyte solutions
0713-0526-12,992459,D04AA,Antihistamines for topical use
53746-0271-01,198334,J01EC,Intermediate-acting sulfonamides
23155-0662-01,308867,A11CC,Vitamin D and analogues
62584-0734-01,905395,C02DB,Hydrazinophthalazine derivatives
68084-0592-01,353538,C01DA,Organic nitrates
64380-0725-06,200060,L04AA,Selective immunosuppressants
68084-0776-01,1099678,N03AG,Fatty acid derivatives
60505-2522-01,242461,B01AC,Platelet aggregation inhibitors excl. heparin
68084-0683-01,596930,N06AX,Other antidepressants
16729-0019-01,200060,L04AA,Selective immunosuppressants
51079-0076-20,905395,C02DB,Hydrazinophthalazine derivatives
63739-0411-10,311289,N03AX,Other antiepileptics
65862-0095-20,309076,J01DD,Third-generation cephalosporins
51079-0423-20,995624,R06AE,Piperazine derivatives
0143-1772-01,206842,C01DA,Organic nitrates
0409-3177-01,1010745,N01BB,Amides
0904-5892-61,904467,C10AA,HMG CoA reductase inhibitors
68084-0870-01,311289,N03AX,Other antiepileptics
51079-0929-20,896762,C07AG,Alpha and beta blocking agents
0597-0185-90,859046,N04BC,Dopamine agonists
60687-0346-01,197397,R05DB,Other cough suppressants
51079-0541-20,312635,N05AB,Phenothiazines with piperazine structure
0904-6620-61,206842,C01DA,Organic nitrates
68084-0572-01,891301,R05CA,Expectorants
0121-4675-00,1099687,N03AG,Fatty acid derivatives
0409-5082-16,1659292,J01DD,Third-generation cephalosporins
36000-0009-24,1665212,J01MA,Fluoroquinolones
63323-0507-20,1722934,J01DH,Carbapenems
67877-0230-22,311880,L04AA,Selective immunosuppressants
51672-1312-00,106346,D06AX,Other antibiotics for topical use
39822-4000-01,647121,N03AX,Other antiepileptics
60687-0282-01,308460,J01FA,Macrolides
0409-1273-32,1807459,N05BA,Benzodiazepine derivatives
63323-0089-50,1868486,B05XA,Electrolyte solutions
62584-0813-01,312134,N05BA,Benzodiazepine derivatives
63323-0106-15,1658264,B05XA,Electrolyte solutions
0517-0720-01,578803,A07EA,Corticosteroids acting locally
63029-8504-01,763484,C05AD,Local anesthetics
0409-6729-03,1658264,B05XA,Electrolyte solutions
0173-0735-00,208450,N02CC,Selective serotonin (5HT1) agonists
0173-0449-02,208452,N02CC,Selective serotonin (5HT1) agonists
50742-0621-01,198035,C08CA,Dihydropyridine derivatives
51079-0200-20,197956,C02AB,Methyldopa
0173-0947-55,993511,N06AX,Other antidepressants
68084-0267-01,198189,C09AA,"ACE inhibitors, plain"
50111-0917-01,198371,C03CA,"Sulfonamides, plain"
51079-0869-20,897649,C08DA,Phenylalkylamine derivatives
64764-0151-05,261266,A10BG,Thiazolidinediones
0338-0054-03,730781,B05XA,Electrolyte solutions
49781-0142-14,198030,N07BA,Drugs used in nicotine dependence
60687-0190-01,904475,C10AA,HMG CoA reductase inhibitors
50111-0915-01,198372,C03CA,"Sulfonamides, plain"
0536-5895-88,198029,N07BA,Drugs used in nicotine dependence
45802-0730-32,198443,N02BE,Anilides
0703-1029-30,1721315,J02AC,Triazole and tetrazole derivatives
0409-3308-03,307719,R05CB,Mucolytics
0409-6629-02,1594593,M03AB,Choline derivatives
67457-0217-20,864714,N07BC,Drugs used in opioid dependence
51079-0928-20,896758,C07AG,Alpha and beta blocking agents
59011-0440-20,1049586,N02AA,Natural opium alkaloids
63323-0734-10,1737449,M05BA,Bisphosphonates
0703-4248-01,597195,L01XA,Platinum compounds
0904-2085-60,313638,A11CA,"Vitamin A, plain"
53489-0400-01,312059,A07AA,Antibiotics
61570-0110-01,845489,C09AA,"ACE inhibitors, plain"
0781-3239-09,1665210,J01MA,Fluoroquinolones
60687-0210-01,198211,C10AA,HMG CoA reductase inhibitors
0228-2539-10,197444,N04BA,Dopa and dopa derivatives
51079-0443-20,966224,H03AA,Thyroid hormones
0904-6477-61,997229,N06DA,Anticholinesterases
0904-6237-61,197444,N04BA,Dopa and dopa derivatives
68084-0513-01,198211,C10AA,HMG CoA reductase inhibitors
51079-0884-20,197444,N04BA,Dopa and dopa derivatives
0904-6478-61,997223,N06DA,Anticholinesterases
23155-0102-01,861007,A10BA,Biguanides
0378-1809-77,892246,H03AA,Thyroid hormones
0904-6530-61,864706,N07BC,Drugs used in opioid dependence
0781-3159-72,485968,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
55111-0262-81,314155,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0406-5755-62,864718,N07BC,Drugs used in opioid dependence
51079-0935-20,198316,C03DB,Other potassium-sparing agents
0378-1800-77,966220,H03AA,Thyroid hormones
0378-1811-77,966248,H03AA,Thyroid hormones
0168-0006-80,1085636,A01AC,Corticosteroids for local oral treatment
60793-0205-05,1243786,B02BC,Local hemostatics
63323-0877-15,861599,P01CX,Other agents against leishmaniasis and trypanosomiasis
0904-5789-61,197310,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
50242-0053-06,1657868,L01FA,CD20 (Clusters of Differentiation 20) inhibitors
0168-0162-30,861448,D07AD,"Corticosteroids, very potent (group IV)"
0944-2700-05,1809670,B06AA,Enzymes
55513-0546-10,1649964,L03AA,Colony stimulating factors
55513-0530-10,1649946,L03AA,Colony stimulating factors
0126-0088-02,630194,A01AA,Caries prophylactic agents
0338-0507-48,1870631,D06AX,Other antibiotics for topical use
0469-3051-30,967388,A01AB,Antiinfectives and antiseptics for local oral treatment
60574-4113-01,1657343,J06BD,Antiviral monoclonal antibodies
0781-3290-09,309336,D10AF,Antiinfectives for treatment of acne
67457-0889-10,1731077,A04AD,Other antiemetics
0641-6079-01,283504,A04AA,Serotonin (5HT3) antagonists
63323-0483-01,1010763,N01BB,Amides
63323-0120-20,249364,L01BC,Pyrimidine analogues
0703-5233-13,309650,L01DB,Anthracyclines and related substances
0713-0656-31,861448,D07AD,"Corticosteroids, very potent (group IV)"
63323-0325-10,1734932,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
68547-0501-02,1999012,C01CX,Other cardiac stimulants
0641-6052-25,861476,N02AB,Phenylpiperidine derivatives
67457-0473-22,597823,J01GB,Other aminoglycosides
68180-0282-01,308429,P01AX,Other agents against amoebiasis and other protozoal diseases
0781-3755-95,242969,C01CA,Adrenergic and dopaminergic agents
54288-0103-10,1660014,C01CA,Adrenergic and dopaminergic agents
55150-0160-72,1737757,N01BB,Amides
0121-0978-00,1049906,R05DA,Opium alkaloids and derivatives
0517-0374-05,1788989,V03AB,Antidotes
60687-0523-21,1482908,J02AC,Triazole and tetrazole derivatives
63323-0208-05,1737761,N01BB,Amides
51079-0942-05,904431,M05BA,Bisphosphonates
51079-0936-20,313215,G04CA,Alpha-adrenoreceptor antagonists
55513-0148-10,205923,B03XA,Other antianemic preparations
54879-0002-00,995607,J04AK,Other drugs for treatment of tuberculosis
51079-0083-20,197832,J04AC,Hydrazides
61748-0012-11,198181,J04AK,Other drugs for treatment of tuberculosis
0168-0204-37,1543069,D04AB,Anesthetics for topical use
0338-6046-48,1721315,J02AC,Triazole and tetrazole derivatives
0517-9305-25,2693633,V03AB,Antidotes
49281-0545-03,1300468,J07AG,Haemophilus influenzae B vaccines
45802-0055-36,1085636,A01AC,Corticosteroids for local oral treatment
0338-6045-37,1721314,J02AC,Triazole and tetrazole derivatives
58160-0955-09,901518,J07AH,Meningococcal vaccines
0536-1143-98,835547,D02AC,Soft paraffin and fat products
65862-0527-90,313583,N06AX,Other antidepressants
42023-0113-10,206967,N01AX,Other general anesthetics
63323-0418-20,199212,M03AC,Other quaternary ammonium compounds
0168-0154-31,106258,D07AA,"Corticosteroids, weak (group I)"
0121-0868-50,312055,A07AA,Antibiotics
17478-0540-01,1724338,N02AA,Natural opium alkaloids
10135-0330-63,309595,B03BA,Vitamin B12 (cyanocobalamin and analogues)
68462-0104-30,197700,J02AC,Triazole and tetrazole derivatives
0548-5604-00,854241,B01AB,Heparin group
0143-9719-10,1791840,C01CE,Phosphodiesterase inhibitors
66689-0036-50,1313112,N03AB,Hydantoin derivatives
0641-6060-10,311702,N05CD,Benzodiazepine derivatives
25021-0669-20,199212,M03AC,Other quaternary ammonium compounds
60505-0402-05,213291,N06AB,Selective serotonin reuptake inhibitors
76329-3352-01,792582,B05CB,Salt solutions
17478-0062-35,746083,S01XA,Other ophthalmologicals
0904-6708-06,308460,J01FA,Macrolides
0990-7935-19,237649,B05BA,Solutions for parenteral nutrition
61787-0062-04,996520,R05DA,Opium alkaloids and derivatives
51079-0986-20,866083,N05BE,Azaspirodecanedione derivatives
51079-0811-20,310488,A10BB,Sulfonylureas
0904-6550-61,856448,C07AA,"Beta blocking agents, non-selective"
61314-0633-05,310467,D06AX,Other antibiotics for topical use
61314-0656-25,309307,S01AE,Fluoroquinolones
0998-0615-05,205669,S01BA,"Corticosteroids, plain"
63323-0965-10,1860136,B05XA,Electrolyte solutions
0173-0697-04,896222,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
0904-6516-61,995624,R06AE,Piperazine derivatives
65862-0201-90,979485,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
0409-9558-10,1234995,M03AC,Other quaternary ammonium compounds
10019-0553-01,351875,N05CM,Other hypnotics and sedatives
0904-6469-61,313585,N06AX,Other antidepressants
43598-0446-74,198031,N07BA,Drugs used in nicotine dependence
60505-2654-00,856373,N06AX,Other antidepressants
51079-0766-08,1099563,N03AG,Fatty acid derivatives
68084-0709-01,313585,N06AX,Other antidepressants
0378-1610-01,991061,A03AA,"Synthetic anticholinergics, esters with tertiary amino group"
65162-0416-03,351266,N02AE,Oripavine derivatives
51079-0806-20,995258,N05BB,Diphenylmethane derivatives
12496-1204-03,1307058,N07BC,Drugs used in opioid dependence
51079-0462-20,312830,N05AX,Other antipsychotics
12496-1202-03,1010603,N07BC,Drugs used in opioid dependence
66689-0694-79,991147,N07BC,Drugs used in opioid dependence
68084-0738-01,864706,N07BC,Drugs used in opioid dependence
68094-0503-61,197803,M01AE,Propionic acid derivatives
68382-0018-01,313582,N06AX,Other antidepressants
50383-0311-47,283523,N02BF,Gabapentinoids
0406-8958-01,884386,N06BA,Centrally acting sympathomimetics
51079-0461-20,312829,N05AX,Other antipsychotics
37205-0361-74,198029,N07BA,Drugs used in nicotine dependence
65162-0898-03,349545,N05AX,Other antipsychotics
68084-0713-01,313581,N06AX,Other antidepressants
0406-0540-34,864980,N07BC,Drugs used in opioid dependence
0409-1304-31,897758,N02AA,Natural opium alkaloids
54162-0017-15,1366116,D06AX,Other antibiotics for topical use
0436-0946-16,313049,D08AX,Other antiseptics and disinfectants
0264-7510-20,1795610,B05BA,Solutions for parenteral nutrition
0781-5265-64,104894,A04AA,Serotonin (5HT3) antagonists
51079-0745-20,833217,C05AE,Muscle relaxants
51672-1264-03,103457,D07AC,"Corticosteroids, potent (group III)"
59676-0303-01,205922,B03XA,Other antianemic preparations
0168-0011-35,1366116,D06AX,Other antibiotics for topical use
59676-0304-01,205924,B03XA,Other antianemic preparations
59762-5016-01,197698,J02AC,Triazole and tetrazole derivatives
0223-1971-01,1367410,A11CC,Vitamin D and analogues
0597-0183-90,859035,N04BC,Dopamine agonists
68084-0044-11,1738483,N06AB,Selective serotonin reuptake inhibitors
0472-0730-41,998540,G01AF,Imidazole derivatives
74300-0081-86,311498,M02AC,Preparations with salicylic acid derivatives
67457-0118-50,308395,A11GA,"Ascorbic acid (vitamin C), plain"
0517-2710-25,828525,A12AA,Calcium
55150-0308-01,485968,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0990-7922-25,1795610,B05BA,Solutions for parenteral nutrition
0409-2720-03,1361226,B01AB,Heparin group
0641-6176-10,312070,H01CB,Somatostatin and analogues
11704-0370-01,700499,B03BA,Vitamin B12 (cyanocobalamin and analogues)
0121-0826-01,1049615,N02AA,Natural opium alkaloids
43598-0448-74,198030,N07BA,Drugs used in nicotine dependence
63739-0943-10,314234,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
0766-1500-10,968849,N07BA,Drugs used in nicotine dependence
0409-1330-01,282609,H05BX,Other anti-parathyroid agents
0338-1073-02,309985,C01CA,Adrenergic and dopaminergic agents
0904-4218-13,309604,B03BA,Vitamin B12 (cyanocobalamin and analogues)
63323-0379-05,312071,H01CB,Somatostatin and analogues
25021-0128-50,1659287,J01DD,Third-generation cephalosporins
0536-5894-88,198031,N07BA,Drugs used in nicotine dependence
64764-0918-30,834239,M04AA,Preparations inhibiting uric acid production
10370-0101-50,993541,N06AX,Other antidepressants
68180-0411-09,200095,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
0228-2620-11,311197,C01DA,Organic nitrates
51079-0943-20,993691,N06AX,Other antidepressants
65862-0295-90,859751,C10AA,HMG CoA reductase inhibitors
51079-0557-20,309362,B01AC,Platelet aggregation inhibitors excl. heparin
0904-1453-61,314106,A02BD,Combinations for eradication of Helicobacter pylori
59148-0007-35,404602,N05AX,Other antipsychotics
0781-5266-64,312087,A04AA,Serotonin (5HT3) antagonists
59148-0008-35,352307,N05AX,Other antipsychotics
51079-0015-20,866042,A01AB,Antiinfectives and antiseptics for local oral treatment
0409-1159-02,1725082,N01BB,Amides
0165-0054-41,210961,A12CC,Magnesium
0409-9157-01,312424,B02BA,Vitamin K
0904-3571-61,860221,G03AC,Progestogens
0641-6057-25,311700,N05CD,Benzodiazepine derivatives
76329-3302-01,727517,B05CX,Other irrigating solutions
17271-0701-07,1807639,B05XA,Electrolyte solutions
60687-0681-01,310410,B03BB,Folic acid and derivatives
60687-0143-01,861010,A10BA,Biguanides
61314-0647-25,309683,J01GB,Other aminoglycosides
63323-0400-09,647121,N03AX,Other antiepileptics
68084-0658-01,197805,M01AE,Propionic acid derivatives
60687-0256-01,859751,C10AA,HMG CoA reductase inhibitors
10147-0750-05,106336,D01AC,Imidazole and triazole derivatives
61314-0144-05,861208,D11AX,Other dermatologicals
0781-5402-92,859751,C10AA,HMG CoA reductase inhibitors
59630-0762-10,1091153,N06BA,Centrally acting sympathomimetics
0781-5238-64,104894,A04AA,Serotonin (5HT3) antagonists
0409-0181-01,1720960,L01BC,Pyrimidine analogues
61958-2901-02,2395502,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
0904-6502-61,205322,L01XX,Other antineoplastic agents
42292-0038-20,966253,H03AA,Thyroid hormones
0904-6359-61,312830,N05AX,Other antipsychotics
51079-0870-20,308973,N03AF,Carboxamide derivatives
0641-6027-25,1735003,N01AH,Opioid anesthetics
17478-0215-02,1190655,S01FA,Anticholinergics
25021-0132-82,1665507,J01MA,Fluoroquinolones
0378-4593-01,1606347,C07AB,"Beta blocking agents, selective"
0904-6488-38,1086613,S01XA,Other ophthalmologicals
25021-0801-66,351114,M05BA,Bisphosphonates
67457-0675-02,213570,H05BA,Calcitonin preparations
0574-4022-35,308508,D06AX,Other antibiotics for topical use
0143-9509-10,238083,N01AX,Other general anesthetics
0121-0646-10,849385,N04BB,Adamantane derivatives
68084-0288-01,313979,H02AA,Mineralocorticoids
0115-1696-06,197787,H02AB,Glucocorticoids
0378-0257-10,310671,N05AD,Butyrophenone derivatives
0904-6622-61,903857,N07AA,Anticholinesterases
55150-0324-25,1719286,C03CA,"Sulfonamides, plain"
0245-0211-11,993466,C01CA,Adrenergic and dopaminergic agents
61314-0326-10,1605075,L03AA,Colony stimulating factors
17478-0542-25,1654169,C01EB,Other cardiac preparations
16729-0298-05,283504,A04AA,Serotonin (5HT3) antagonists
67457-0420-10,309696,H02AB,Glucocorticoids
29300-0227-01,311681,P01AB,Nitroimidazole derivatives
0781-3244-94,1734919,L01AA,Nitrogen mustard analogues
60687-0100-01,858747,A05AA,Bile acids and derivatives
0574-0292-01,977880,C03DB,Other potassium-sparing agents
0548-5605-00,854248,B01AB,Heparin group
0904-6890-04,858751,A05AA,Bile acids and derivatives
0456-2700-10,1603845,J01DD,Third-generation cephalosporins
0904-6085-61,200371,N06AB,Selective serotonin reuptake inhibitors
68382-0316-01,197985,J01AA,Tetracyclines
0904-6221-61,858747,A05AA,Bile acids and derivatives
51672-3020-02,1543069,D04AB,Anesthetics for topical use
0904-5790-61,197311,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
64679-0012-01,1659149,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
0338-0424-18,1658692,B01AB,Heparin group
65649-0301-03,539789,A07AA,Antibiotics
0456-0600-10,1040016,J01DI,Other cephalosporins and penems
58160-0821-52,798428,J07BC,Hepatitis vaccines
63739-0029-10,197397,R05DB,Other cough suppressants
24208-0555-55,308511,D06AX,Other antibiotics for topical use
63323-0970-02,885205,N04AC,Ethers of tropine or tropine derivatives
51079-0736-20,310672,N05AD,Butyrophenone derivatives
51079-0735-20,314034,N05AD,Butyrophenone derivatives
43547-0342-06,312831,N05AX,Other antipsychotics
0641-6044-25,1665188,N05BA,Benzodiazepine derivatives
0904-6641-61,317174,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
17478-0540-50,1724341,N02AA,Natural opium alkaloids
47781-0108-30,310261,L02BG,Aromatase inhibitors
10019-0553-04,351875,N05CM,Other hypnotics and sedatives
63323-0531-90,854241,B01AB,Heparin group
61314-0318-01,1605071,L03AA,Colony stimulating factors
10019-0956-01,1734919,L01AA,Nitrogen mustard analogues
68462-0158-13,312087,A04AA,Serotonin (5HT3) antagonists
63323-0568-88,854238,B01AB,Heparin group
51079-0547-20,997501,R06AX,Other antihistamines for systemic use
0173-0547-00,211947,P01AX,Other agents against amoebiasis and other protozoal diseases
61703-0309-16,1863354,L01CA,Vinca alkaloids and analogues
0904-6283-61,200034,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
63323-0278-10,239178,L01CA,Vinca alkaloids and analogues
49502-0102-02,1870207,C01CA,Adrenergic and dopaminergic agents
68084-0530-01,312744,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0338-1305-01,899350,V03AF,Detoxifying agents for antineoplastic treatment
0469-3250-10,861381,J02AX,Other antimycotics for systemic use
71288-0202-02,240793,C02DD,Nitroferricyanide derivatives
17478-0070-31,310149,S01AA,Antibiotics
60758-0908-10,244967,J01EA,Trimethoprim and derivatives
0378-5807-93,349483,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
0143-9851-01,314099,H02AB,Glucocorticoids
0781-3411-95,1594591,M03AB,Choline derivatives
25021-0201-10,204870,V03AF,Detoxifying agents for antineoplastic treatment
0143-9890-01,283504,A04AA,Serotonin (5HT3) antagonists
50742-0620-01,198034,C08CA,Dihydropyridine derivatives
51991-0934-98,896771,C07AG,Alpha and beta blocking agents
55150-0252-20,1010033,N01BB,Amides
62559-0210-81,198037,C08CA,Dihydropyridine derivatives
55150-0163-30,1737562,N01BB,Amides
67457-0440-22,1740467,A04AA,Serotonin (5HT3) antagonists
52959-0452-30,206805,R06AX,Other antihistamines for systemic use
0121-1775-10,995868,R05DA,Opium alkaloids and derivatives
42023-0221-10,1734683,J01DH,Carbapenems
68682-0170-30,198102,B02BA,Vitamin K
68084-0482-11,199885,J01MA,Fluoroquinolones
0904-5893-61,904475,C10AA,HMG CoA reductase inhibitors
60687-0155-01,861007,A10BA,Biguanides
60432-0065-00,617322,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
68084-0313-01,1099596,N03AG,Fatty acid derivatives
60505-2504-03,197889,N05AN,Lithium
